volume_mL,pH
0.1,1.649901424590337
2.5,1.6928520709648645
5.0,1.7814306561430209
7.5,1.871690895692241
10.0,1.8829753987582998
12.5,1.9469758912915245
15.0,2.0653763844652215
17.5,2.1060230418745873
20.0,2.1349157684219513
22.5,2.232276801307579
25.0,2.272097469215626
27.5,2.3450281073928925
30.0,2.443258868146981
32.5,2.460601592660266
35.0,2.5562524650246092
37.5,2.6931313741227707
40.0,2.7976150663899673
42.5,2.9834274199778585
45.0,3.142759277734364
47.5,3.445630888959941
50.0,4.747969463067647
52.5,5.916226710985404
55.0,6.248025846140638
57.5,6.404257554413596
60.0,6.5816685182642445
62.5,6.7263276776912955
65.0,6.797470192677331
67.5,6.942270940550371
70.0,7.005980839302436
72.5,7.104249187506202
75.0,7.181948801633118
77.5,7.342568345535268
80.0,7.3755950832578625
82.5,7.4372686721313235
85.0,7.592676347363096
87.5,7.640374690500869
90.0,7.808265907850142
92.5,7.894209896283607
95.0,8.114154418533047
97.5,8.482905837076075
100.0,9.685153997399862
102.5,10.8381410484357
105.0,11.133530551528354
107.5,11.307966889132322
110.0,11.401644340288977
112.5,11.524404673748158
115.0,11.615180836871206
117.5,11.730713666786567
120.0,11.770308548687053
122.5,11.761108795339117
125.0,11.871722519081844
127.5,11.894447531587511
130.0,11.924692339990822
132.5,12.000350288665226
135.0,12.046929985674879
137.5,12.074938403573487
140.0,12.050823474303321
142.5,12.093723628724463
145.0,12.138937902942107
147.5,12.182266353813672
150.0,12.160624772864642
152.5,12.191430230700085
